aczkolwiek albeit
niedostatek paucity
niejasny abscure
nielegalny illicit
nienaruszony intact
nieograniczony unrestricted
nieprawdopodobne implausible
nieprzerwanie incessantly
nieprzerwany consecutive
nieskoäczono˜† infinity
niesp¢jno˜ci inconsistencies
nieuzasadniony unjustifiable
niewyra«nie vaguely
niezawodno˜† reliability
niezb©dny vital
niezmiernie immensely
nieznaczny slightest
niezwyci©¾ony invinvible
nikn¥† dwindle
obj©cie embrace
obna¾ony stripped
oboj©tnie listlessly
obwieszczone festonned
oczywi˜cie obviously
oderwany detached
odkryte unearthed
odkryty bared
odpowiedniki counterparts
odr©bny distinct
odsolenie desolination
odst¥pienie withdraw
odtwarza† retrace
odwoˆa† invoked
odwraca† invert
odwr¢t retreat
odzyska† retrieve
ognisko bonfire
ogranicza† confine
okaleczony mutilated
okieˆzna† restrain
okres span
okropny awful
omija† omit
opowie˜† tale
opracowa† elaborate
op¢«nia† deffered
osi¥galny reachable
oskar¾ony accused
osobno apart
ostatecznie eventually
oszaˆamiaj¥cy dizzying
oszczerstwo slander
oszustwo hoax
osˆona mantle
otrzyma† receive
otyˆo˜† obesity
otyˆy obese
owocny rewarding
oˆozone piled
o˜wiadczenie statement
paradoksalnie paradoxically
parali¾uj¥cy numbling
pasmo strand
pchn¥† lunge
perspektywa prospect
piasek sand
pisk screech
plama smudge
plotka romour
pobˆa¾a† indulge
pochmurny overcast
pocz¥tkowy initial
podbi† conquer
podkre˜la† emphasize
pogaw©dka chitchat
pojawi† emerge
pojednawczo conciliatory
pojedna† reconsile
pojemno˜† capacity
poj©kiwa† moaning
polega† rely
pomimo despite
ponadto futhermore
poni¾ej beneath
ponuro ruefully
ponury grimm
poobijany battered
popija† sipped
poprzez throughout
pop©dy urges
postawione posed
postuka† tapped
powinien ought
poznawczy cognitive
pozornie seemingly
pozostaˆy remaining
po˜piech hustle
po¾egnanie farewell
prawdziwy veritable
progres progress
przechytrzy† outsmarted
przedkˆada† submitted
przedmowa preface
przedziaˆy compartments
przekaza† convey
przekazywa† relay
przekl©te blasted
przekonuj¥co cogently
przekraczaj¥cy spaming
przeksztaˆcony turned
przemienia† rearrange
przemy˜lane considered
przenika† leak
przepojony imbued
przera¾enie dread
przestarzaˆy obsolete
przeszkody obstacles
przewidywane anticipated
przez over
przezwyci©¾y† overcame
przeˆom breakthrough
prze˜ladowa† nagged
przyczyna causation
przyczyni† contribute
przygn©biaj¥co overwhelmingly
przyj¥† assume
przykro˜ci annoyances
przypuszczalny presumed
przyspieszenie hastening
przyst©pne affordable
przytakn¥† nod
przytomny consious
przytulny cozy
przywdzia† donned
przyˆ¥czy† affiliate
pr¢bowa† attepmt
pr¥d current
pstryka† snapp
pˆaski flat
pˆomieä flame
p¢ˆksi©¾yc crescent
raising wzrastanie
roczny annual
rozbie¾ny divergent
rozkˆad sheduled
rozlegˆy vast
rozmoczony soggy
rozpi©to˜c spread
rozszerzony extended
rozs¥dny sane
roztrzaskany shattered
roztrzepany giddy
rozwija† develop
ro¾nica distinction
run¥† collapse
ryk roar
rynna gutter
ry¾owe paddies
rzadko rare
rzekomy alleged
rzuca† fling
rzuci† hurle
r¢g horn
r¢wniny plains
r¢wnocze˜nie simultaneously
r¢¾norodny diverse
siniak bruise
skamieliny fossils
skorupa crust
skroszony crigned
skrupulatny meticulous
skulony huddled
skˆoni† prompt
smar grease
smutek sorrow
spa˜† tumbled
spokojny serene
spotkanie encounter
sprawiedliwy equitable
stanowczo sternly
starannie neatly
staˆy permanent
stok slope
stosowane applied
stosunkowo relatively
stowarzyszonych associates
st¥d hence
surowy severe
systematycznie steadily
szafki lockers
szczeg¢lnie particularly
szczyt summit
szczyty peaks
szkodliwy harmful
szlachetny noble
szlak trail
szmata rag
szorstki harsher
sztywny stark
sˆonawy brackish
s¥siaduje adjoins
tampon wad
tarcza shield
tempo pace
topnie† melt
trasa traverse
trwaj¥cy ongoing
trwaˆy persistant
trzaska† crack
tuli† nestle
tury˜ci backpackers
tymczasowy temporary
ubustwo poverty
uderzenie strike
ugi©te flexed
ujawnia† revealed
ujednolica† unify
uko˜ny slanting
ulepszony revised
umiarkowany measured
uparty stubborn
uprzedzenie bias
uroczy˜cie solemnly
uruchomiony launched
ustala† determine
ustanawia† establish
utarty beaten
uwa¾a† deemed
uwydatnia† enhance
uzdolniony prodigy
wacha† hesitate
wahadˆo swing
walczy† contended
walka struggle
wapieä limestone
warto˜† value
waˆ shaft
wa¾ny valid
wewn©trzny inward
wiedza lore
wiejski rural
wielbˆ¥d camel
wierzchoˆek apex
wiosˆowa† paddling
wnika† delving
wolny spare
wpˆyw impact
wrogi hostile
wr¥b notch
wschechobecne omnipresent
wskazuje indicates
wspiera† reinforce
wsp¢lnik accomplice
wsp¢ˆzale¾no˜† correlation
wszechobecny ubiquitous
wybielony bleached
wybieralny eligible
wyczerpuj¥cy gruelling
wydajno˜† yield
wydmy dunes
wydobyty excavated
wygl¥d appearance
wygodny convinient
wyj˜cia outputs
wykuty coined
wyla† spilling
wynale«† invent
wypatroszone gutted
wyrz¥dzone inflicted
wyr¢¾niaj¥cy outstanding
wysadzany blasted
wystawa† protrude
wyst©powa† occur
wzdˆ¢¾ alongside
wzgl¥d regard
wzg¢rza hills
wzmocni† stregnhten
wz¢r pattern
wˆ¢cz©dzy vagabonds
wˆ¥da† wielding
w˜cibski nosey
w˜r¢d amid
w¥cha† sniff
w¥ski narrow
w©dr¢wka trek
w©zeˆ knots
zaanga¾owanie commitment
zabawiony amuse
zab¢jczo lethally
zach©ca† encourage
zadanie assigment
zadziwiaj¥co astonishingly
zajazd inn
zakazane outlawed
zakazany forbidden
zakaza† censor
zakneblowany gagged
zakres range
zakˆada† charter
zamaskowany concealed
zamazany blurred
zamieszanie fuss
zanieczyszczone contiminated
zaniedbany neglected
zanu¾ony submerge
zaostrzony tightened
zapchany crammed
zapewnia† provide
zapewnienie ensuring
zapi©czetowany sealed
zapobieganie preventing
zarozumiaˆy assuming
zarzut plea
zar¢wno either
zasady pronciples
zasadzka ambush
zaszczyt privilage
zatem thus
zawˆadn¥† seize
zazdro˜ci† envy
zaˆo¾enie assumption
zbi¢r collection
zdradziecki insidious
zdumiewaj¥cy astounding
zdziwienie astonishment
zemsta vengeance
zeznanie testimony
zezowa† squint
zleceinie errand
zmontowane assembled
zmora bane
znaczny significant
znakomite suberb
znieksztaˆcony distorted
znie˜† endure
zorganizowa† arranged
zryw spurt
zubo¾aˆy impoverished
zuchwaˆo˜† temority
zuchwaˆy audacious
zwie˜† misquide
zwi¥zany_z associated
zwi©zˆy brief
zwyczajna mere
zwyczajowy customary
zyska† gain
ˆagodnie wistfully
ˆapczywie greedily
ˆuska hull
˜lad trace
˜miaˆkowie daredevils
˜mieci dross
˜redniowieczny medieval
¾aˆo˜nie pathetically
¾wir gravel
¾yrandol chandelier
¾¥danie demand
¾¥da† claim
kruszy† crumble
ma˜† ointment
dostosowa† adjust
odruchowy reflexive
izba chamber
smakowa† relish
dogˆ©bny profound
jedyny merest
krzywo awry
niech©tnie reluctant
przychytrzy† outsmart
